,video_id,title,channel_id,channel_title,view_count,like_count,comment_count,wikipedia_categories,duration,comments
0,JGwWNGJdvx8,Ed Sheeran - Shape of You (Official Music Video),UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran,6194151518,32577488,1151094,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT4M24S,"['2099', ""The club isn't the best place to find a lover\nSo the bar is where I go\nMe and my friends at the table doing shots\nDrinking fast and then we talk slow\nCome over and start up a conversation with just me\nAnd trust me I'll give it a chance now\nTake my hand, stop, put Van the Man on the jukebox\nAnd then we start to dance, and now I'm singing like\nGirl, you know I want your love\nYour love was handmade for somebody like me\nCome on now, follow my lead\nI may be crazy, don't mind me\nSay, boy, let's not talk too much\nGrab on my waist and put that body on me\nCome on now, follow my lead\nCome, come on now, follow my lead\nI'm in love with the shape of you\nWe push and pull like a magnet do\nAlthough my heart is falling too\nI'm in love with your body\nAnd last night you were in my room\nAnd now my bedsheets smell like you\nEvery day discovering something brand new\nI'm in love with your body\n(Oh-I-oh-I-oh-I-oh-I)\nI'm in love with your body\n(Oh-I-oh-I-oh-I-oh-I)\nI'm in love with your body\n(Oh-I-oh-I-oh-I-oh-I)\nI'm in love with your body\nEvery day discovering something brand new\nI'm in love with the shape of you\nOne week in we let the story begin\nWe're going out on our first date\nYou and me are thrifty, so go all you can eat\nFill up your bag and I fill up a plate\nWe talk for hours and hours about the sweet and the sour\nAnd how your family is doing okay\nAnd leave and get in a taxi, then kiss in the backseat\nTell the driver make the radio play, and I'm singing like\nGirl, you know I want your love\nYour love was handmade for somebody like me\nCome on now, follow my lead\nI may be crazy, don't mind me\nSay, boy, let's not talk too much\nGrab on my waist and put that body on me\nCome on now, follow my lead\nCome, come on now, follow my lead\nI'm in love with the shape of you\nWe push and pull like a magnet do\nAlthough my heart is falling too\nI'm in love with your body\nAnd last night you were in my room\nAnd now my bedsheets smell like you\nEvery day discovering something brand new\nI'm in love with your body\n(Oh-I-oh-I-oh-I-oh-I)\nI'm in love with your body\n(Oh-I-oh-I-oh-I-oh-I)\nI'm in love with your body\n(Oh-I-oh-I-oh-I-oh-I)\nI'm in love with your body\nEvery day discovering something brand new\nI'm in love with the shape of you\nCome on, be my baby, come on\nCome on, be my baby, come on\nCome on, be my baby, come on\nCome on, be my baby, come on\nCome on, be my baby, come on\nCome on, be my baby, come on\nCome on, be my baby, come on\nCome on, be my baby, come on\nI'm in love with the shape of you\nWe push and pull like a magnet do\nAlthough my heart is falling too\nI'm in love with your body\nAnd last night you were in my room\nAnd now my bedsheets smell like you\nEvery day discovering something brand new\nI'm in love with your body\nCome on, be my baby, come on\nCome on (I'm in love with your body), be my baby, come on\nCome on, be my baby, come on\nCome on (I'm in love with your body), be my baby, come on\nCome on, be my baby, come on\nCome on (I'm in love with your body), be my baby, come on\nEvery day discovering something brand new\nI'm in love with the shape of you"", '❤❤❤fg', 'Its the 7th of january and im back here after it feels like 7 years', '2018 this is my Ringtone ❤', 'Who is in 2030?', '7 years', 'https://youtu.be/kffacxfA7G4?feature=shared', 'Wow', 'my best song ever\nive found a valentine song']"
1,09R8_2nJtjg,Maroon 5 - Sugar (Official Music Video),UCN1hnUccO4FD5WfM7ithXaw,Maroon5VEVO,4001076548,15998309,421195,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT5M2S,"['9 years ago when im in my high school i was casually singing and enjoying the moment i dont know why but im happy really happy at that day i was going on and on and i realized my teacher came long time ago and all of the class just looking at me while im enjoying… 😬😂', 'Happy 4 billion views!', 'OMG', 'Hello❤', 'очень круто на 8, очень семейный', '日本人です。\n誰か日本人で見てる人います？', 'Congrats🎉🎉 4B views 🎉🎉', '4B!!!!!!!!', '4Billion \nSoooo Sweeettttt\nSUGAR❤❤', 'Wow Sugar reach to 4B views']"
2,pRpeEdMmmQ0,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),UCGnjeahCJW1AF34HBmQTJ-Q,shakiraVEVO,3848727932,22156171,1323654,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Latin_America', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M31S,"['Algun muchacho que este en 2024', 'Algum BR assistindo essa obra de arte em 2024?', ""Fun fact: this song's world cup was played at the prime of tiki taka and Barcelona"", 'Xaquira show', 'The Best', 'This song is so nostalgic after 13 years', 'Waka waka had me dying', 'Ft A.K 🖌️🤙👈', '❤❤❤❤❤❤❤❤❤❤❤❤❤ ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😂❤❤❤❤❤❤❤❤❤❤❤❤❤😂😂😂😂😂waka waka', '2024 still watching ❤']"
3,lp-EO5I60KA,Ed Sheeran - Thinking Out Loud (Official Music Video),UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran,3727704526,15014761,373266,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT4M57S,"[""When your legs don't work like they used to before\nAnd I can't sweep you off of your feet\nWill your mouth still remember the taste of my love\nWill your eyes still smile from your cheeks\nAnd darling I will be loving you 'til we're 70\nAnd baby my heart could still fall as hard at 23\nAnd I'm thinking 'bout how people fall in love in mysterious ways\nMaybe just the touch of a hand\nOh me I fall in love with you every single day\nAnd I just wanna tell you I am\nSo honey now\nTake me into your loving arms\nKiss me under the light of a thousand stars\nPlace your head on my beating heart\nI'm thinking out loud\nMaybe we found love right where we are\nWhen my hair's all but gone and my memory fades\nAnd the crowds don't remember my name\nWhen my hands don't play the strings the same way, mm\nI know you will still love me the same\n'Cause honey your soul can never grow old, it's evergreen\nBaby your smile's forever in my mind and memory\nI'm thinking 'bout how people fall in love in mysterious ways\nMaybe it's all part of a plan\nI'll just keep on making the same mistakes\nHoping that you'll understand\nBut baby now\nTake me into your loving arms\nKiss me under the light of a thousand stars\nPlace your head on my beating heart\nI'm thinking out loud\nThat maybe we found love right where we are, oh\nSo baby now\nTake me into your loving arms\nKiss me under the light of a thousand stars\nOh darling, place your head on my beating heart\nI'm thinking out loud\nThat maybe we found love right where we are\nOh baby, we found love right where we are (maybe)\nAnd we found love right where we are"", 'https://youtu.be/CxBbw8eT624?si=TZU8S7XiX-BOS-4g', '2024 and still listening', 'This is my favorate aong.', 'Andersons/Andersens Do Not get Anything!!!', 'No City Workers and No Civil Servants!!!', 'Curtis Does Not get Anything!!!', 'Darryl and Micheal Do Not get Anything!!!', 'Anderson/Andersen Does Not get Anything!!!', 'la bailarina,hermosa y talentosa😊']"
4,2Vv-BfVoq4g,Ed Sheeran - Perfect (Official Music Video),UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran,3662790199,20785659,517336,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT4M40S,"['Yes', 'whenever i hear this song i just go with flow, i feel someone or something is coming for me which i imagine since so long❤', 'Tudo vai ficar bem, moça ❤', 'Heard it for the first time a month ago lmao \n❤', ""I found a love, for me\nDarling, just dive right in and follow my lead\nWell, I found a girl, beautiful and sweet\nOh, I never knew you were the someone waiting for me\n'Cause we were just kids when we fell in love\nNot knowing what it was\nI will not give you up this time\nBut darling, just kiss me slow\nYour heart is all I own\nAnd in your eyes, you're holding mine\nBaby, I'm dancing in the dark\nWith you between my arms\nBarefoot on the grass\nListening to our favourite song\nWhen you said you looked a mess\nI whispered underneath my breath\nBut you heard it\nDarling, you look perfect tonight\nWell, I found a woman, stronger than anyone I know\nShe shares my dreams, I hope that someday I'll share her home\nI found a lover, to carry more than just my secrets\nTo carry love, to carry children of our own\nWe are still kids, but we're so in love\nFighting against all odds\nI know we'll be alright this time\nDarling, just hold my hand\nBe my girl, I'll be your man\nI see my future in your eyes\nBaby, I'm dancing in the dark\nWith you between my arms\nBarefoot on the grass\nListening to our favorite song\nWhen I saw you in that dress, looking so beautiful\nI don't deserve this\nDarling, you look perfect tonight\nBaby, I'm dancing in the dark\nWith you between my arms\nBarefoot on the grass\nListening to our favorite song\nI have faith in what I see\nNow I know I have met an angel in person\nAnd she looks perfect\nI don't deserve this\nYou look perfect tonight"", 'Still the best...it always takes me to some other zone and memories... somehow I feel associated with this and I again start to feel 19 and them back to 25... like to and fro with mixed feelings... no idea why...', 'https://youtu.be/1QiwzaGzU8A?si=SnLIyOs535riR_P7', 'I love you so much', ""I remember listening to this masterpiece right after its release, and my mom pulled out my earphones to ask what I was listening to. She listened to it and said it seemed like a good song, even though she didn't understand English. She is not here with me, but this song reminds me of my late mother simply because of that."", 'Essa música é  o clássico  é  muito linda. ❤❤❤']"
5,aJOTlE1K90k,Maroon 5 - Girls Like You ft. Cardi B (Official Music Video),UCN1hnUccO4FD5WfM7ithXaw,Maroon5VEVO,3555608333,21518753,662772,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT4M31S,"['Fantastic !!', 'Gal galot & ellen & JLo❤❤ beautifulsss ❤❤❤', 'No way this song is already 5 years old 😭', 'people in 2024?', 'На дворі 2024, а ти все ще слухаєш цю пісню)', '*AuthenticViews Dawt Cawm*   *  did make him big along with his talent', '2024 ❤🫶', 'Such a sweet tune.', 'Yang bener aja rugi dong.', '2024 anyone?']"
6,YqeW9_5kURI,Major Lazer &amp; DJ Snake - Lean On (feat. MØ) (Official Music Video),UCMJ5Qf3sOvQpcYiai1Noa3Q,Major Lazer Official,3542799438,17097729,454932,"['https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Pop_music']",PT2M59S,"['MUSIC IS THE WEAPON OUT NOW: https://smarturl.it/MITW', 'She was busting it open 😅', 'The nostalgia this song brings back from my childhood....', 'vamonos pa la India carajo...¡¡', 'Весь клип пыталась показать кемела', 'Que buena rola', '2024.... Anyone Here🫶🏻✨', 'still listening n 2024??', 'Can you imagine that russia vietnam the japong neurs nua chua holding you loving you is south\n\nCentral asia can get no strangers', 'The nostalgia i get when i hear this song❤']"
7,YQHsXMglC9A,Adele - Hello (Official Music Video),UComP_epzeKzvBX156r6pm1Q,AdeleVEVO,3122949910,18711294,947180,"['https://en.wikipedia.org/wiki/Christian_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT6M7S,"[""This made a fan of adele when it came out. Her voice is amazing there's no words for it. Her high notes literally got me rolling in the deep.  Glad to hear she's doing tours again ❤❤."", ""Hello Adele, how are you? Today is my birthday. Can you sing 'easy on me' for me today? Cheers"", ""I remember when I was 7 years old, I didn't have friends, and my mother and father had problems, and I was listening to this song♡."", 'Hello❤', 'Hellos 👋 2024', '↑ subscribe and ask for you favorite karaoke song', 'Ya and that a man', '❤❤❤❤❤❤❤❤❤❤', 'Beautiful song', 'Hello']"
8,k2qgadSvNyU,Dua Lipa - New Rules (Official Music Video),UC-J-KZfRV8c13fOCkhXdLiQ,Dua Lipa,3003885278,17452543,378849,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M45S,"['Thank you to all friends old and new, to love, happiness and keeping an open heart. WELCOME TO FUTURE NOSTALGIA 🔐🌕💛 out now on all streaming services!!!!!! https://dualipa.co/futurenostalgia', 'Glad, I am ignoring mine.', 'Trying to understand the video, she has 2 girls tell her the "" new rules"", then she does it to the girl with the black bob. Is she suggesting lying to other girls then cursing them to stay single. Shame on you.', 'I miss Jacksonville, FL, get out by 09/23/25, go to Wyoming near Jackson Hole, WY.', '💪❤', '3  billion 😂❤ deserve that', ""Lyrics:\r\nOne, one, one, one, one...\r\n\r\nTalkin' in my sleep at night, makin' myself crazy\r\n(Out of my mind, out of my mind)\r\nWrote it down and read it out, hopin' it would save me\r\n(Too many times, too many times)\r\n\r\nMy love, he makes me feel like nobody else, nobody else\r\nBut my love, he doesn't love me, so I tell myself, I tell myself\r\n\r\nOne: Don't pick up the phone\r\nYou know he's only callin' 'cause he's drunk and alone\r\nTwo: Don't let him in\r\nYou'll have to kick him out again\r\nThree: Don't be his friend\r\nYou know you're gonna wake up in his bed in the morning\r\nAnd if you're under him, you ain't gettin' over him\r\n\r\nI got new rules, I count 'em\r\nI got new rules, I count 'em\r\nI gotta tell them to myself\r\nI got new rules, I count 'em\r\nI gotta tell them to myself\r\n\r\nI keep pushin' forwards, but he keeps pullin' me backwards\r\n(Nowhere to turn, no way)\r\n(Nowhere to turn, no)\r\nNow I'm standin' back from it, I finally see the pattern\r\n(I never learn, I never learn)\r\n\r\nBut my love, he doesn't love me, so I tell myself, I tell myself\r\nI do, I do, I do\r\n\r\nOne: Don't pick up the phone\r\nYou know he's only callin' 'cause he's drunk and alone\r\nTwo: Don't let him in\r\nYou'll have to kick him out again\r\nThree: Don't be his friend\r\nYou know you're gonna wake up in his bed in the morning\r\nAnd if you're under him, you ain't gettin' over him\r\n\r\nI got new rules, I count 'em\r\nI got new rules, I count 'em\r\nI gotta tell them to myself\r\nI got new rules, I count 'em\r\nI gotta tell them to myself\r\n\r\nPractice makes perfect\r\nI'm still tryna learn it by heart (I got new rules, I count 'em)\r\nEat, sleep, and breathe it\r\nRehearse and repeat it, 'cause I... (I got new...)\r\n\r\nOne: Don't pick up the phone (yeah)\r\nYou know he's only callin' 'cause he's drunk and alone (alone)\r\nTwo: Don't let him in (uh-ooh)\r\nYou'll have to kick him out again (again)\r\nThree: Don't be his friend\r\nYou know you're gonna wake up in his bed in the morning\r\nAnd if you're under him, you ain't gettin' over him\r\n\r\nI got new rules, I count 'em\r\nI got new rules, I count 'em\r\n(Whoa-ooh, whoa-ooh, whoa)\r\nI gotta tell them to myself\r\nI got new rules, I count 'em\r\n(Baby, you know I count 'em)\r\nI gotta tell them to myself\r\n\r\nDon't let him in, don't let him in\r\nDon't, don't, don't, don't...\r\nDon't be his friend, don't be his friend\r\nDon't, don't, don't, don't...\r\nDon't let him in, don't let him in\r\nDon't, don't, don't, don't...\r\nDon't be his friend, don't be his friend\r\nDon't, don't, don't, don't...\r\nYou're gettin' over him"", 'ARNOLDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD', 'Jm ya aprendioeron las nuevas reglas', 'I love this song ❤ my number one favorite song by Dua Lipa this song never gets old.']"
9,fLexgOxsZu0,Bruno Mars - The Lazy Song (Official Music Video),UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,2703809252,14605177,544143,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M20S,"['My baby brother likes this song it comes I’m down', 'Others:cool song\nMe:🐵🙉🙊🐵', ""yup it's 2024  01:55AM playing this song"", '2024 anyone?', 'JEANY 21 ❤❤❤❤❤❤', 'Evry1 when they  dont wanna go to office😅\nSo this song came to mind again today 😂', '2024❤❤❤❤❤', 'Yep', 'Me', 'Eres capo bruno mars']"
10,2vjPBrBU-TM,Sia - Chandelier (Official Video),UCmKdSrwf1e8coqAzUsrVHZw,SiaVEVO,2673858835,12982179,584925,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M52S,"[""Lustre\n\nGarotas festeiras não se machucam\nNão sentem nada, quando vou aprender?\nEu me deixo levar, me deixo levar\n\nSou eu pra quem ligam quando querem se divertir\nO celular não para de tocar, minha campainha tocando\nEu sinto o amor, sinto o amor\n\nUm, dois, três, um, dois, três, bebo\nUm, dois, três, um, dois, três, bebo\nUm, dois, três, um, dois, três, bebo\nUma atrás da outra, até perder a conta\n\nEu vou me balançar no lustre\nNo lustre\nEu vou viver como se o amanhã não existisse\nComo se não ele não existisse\nEu vou voar como um pássaro pela noite\nSentir minhas lágrimas enquanto elas secam\nEu vou me balançar no lustre\nNo lustre\n\nMas estou aguentando firme pela minha vida\nNão vou olhar pra baixo, não vou abrir meus olhos\nDeixo meu copo cheio até a manhã\nPorque estou apenas aguentando firme por essa noite\nMe ajude, estou aguentando firme pela minha vida\nNão vou olhar pra baixo, não vou abrir meus olhos\nDeixo meu copo cheio até a manhã\nPorque estou apenas aguentando firme por essa noite\nPor essa noite\n\nO Sol nasce, estou um desastre\nTenho que sair daqui agora\nTenho que fugir disso\nAí vem a vergonha\nAí vem a vergonha\n(Ah)\n\nUm, dois, três, um, dois, três, bebo\nUm, dois, três, um, dois, três, bebo\nUm, dois, três, um, dois, três, bebo\nUma atrás da outra, até perder a conta\n\nEu vou me balançar no lustre\nNo lustre\nEu vou viver como se o amanhã não existisse\nComo se o amanhã não existisse\nEu vou voar como um pássaro pela noite\nSentir as minhas lágrimas enquanto elas secam\nEu vou me balançar no lustre\nNo lustre\n\nMas estou aguentando firme pela minha vida\nNão vou olhar pra baixo, não vou abrir meus olhos\nDeixo meu copo cheio até a manhã\nPorque estou apenas aguentando firme por essa noite\nMe ajude, estou aguentando firme pela minha vida\nNão vou olhar pra baixo, não vour abrir meus olhos\nDeixo meu copo cheio até a manhã\nPorque estou apenas aguentando firme por essa noite\nPor essa noite\nPor esta noite\n\nPorque estou apenas aguentando firme por essa noite\nOh, estou apenas aguentando firme por essa noite\nPor essa noite\nPor essa noite\nPorque estou apenas aguentando firme por essa noite\nPorque estou apenas aguentando firme por essa noite\nOh, estou apenas aguentando firme por essa noite\nPor essa noite\nPor essa noite\n\n\n\nChandelier\n\nParty girls don't get hurt\nCan't feel anything, when will I learn?\nI push it down, push it down\n\nI'm the one for a good time call\nPhone's blowing up, ringing my doorbell\nI feel the love, feel the love\n\nOne, two, three, one, two, three, drink\nOne, two, three, one, two, three, drink\nOne, two, three, one, two, three, drink\nThrow 'em back till I lose count\n\nI'm gonna swing from the chandelier\nFrom the chandelier\nI'm gonna live like tomorrow doesn't exist\nLike it doesn't exist\nI'm gonna fly like a bird through the night\nFeel my tears as they dry\nI'm gonna swing from the chandelier\nFrom the chandelier\n\nBut I'm holding on for dear life\nWon't look down, won't open my eyes\nKeep my glass full until morning light\n'Cause I'm just holding on for tonight\nHelp me, I'm holding on for dear life\nWon't look down, won't open my eyes\nKeep my glass full until morning light\n'Cause I'm just holding on for tonight\nOn for tonight\n\nSun is up, I'm a mess\nGotta get out now\nGotta run from this\nHere comes the shame\nHere comes the shame\n(Ah)\n\nOne, two, three, one, two, three, drink\nOne, two, three, one, two, three, drink\nOne, two, three, one, two, three, drink\nThrow 'em back till I lose count\n\nI'm gonna swing from the chandelier\nFrom the chandelier\nI'm gonna live like tomorrow doesn't exist\nLike it doesn't exist\nI'm gonna fly like a bird through the night\nFeel my tears as they dry\nI'm gonna swing from the chandelier\nFrom the chandelier\n\nBut I'm holding on for dear life\nWon't look down, won't open my eyes\nKeep my glass full until morning light\n'Cause I'm just holding on for tonight\nHelp me, I'm holding on for dear life\nWon't look down, won't open my eyes\nKeep my glass full until morning light\n'Cause I'm just holding on for tonight\nOn for tonight\nOn for tonight\n\n'Cause I'm just holding on for tonight\nOh, I'm just holding on for tonight\nOn for tonight\nOn for tonight\n'Cause I'm just holding on for tonight\n'Cause I'm just holding on for tonight\nOh, I'm just holding on for tonight\nOn for tonight\nOn for tonight"", '🤑', '🌍🌎🌏🎓👩\u200d🎓⚡', 'The 1 million Toad army version is way better', 'Господи Боже мой! Какая трагедия эта проклятая алкогольная зависимость! Прошу   Тебя, помилуй меня, грешного! И всех алкоголиков! Избавь Ты нас от алкогольного наваждения!', ""IIIIIIIIIIIIIIIIIIIIII'M GONNA SWIIIIIIIIIIIRL FROM THE CHANDELIEEEEEEEEEEEEER FROM THE CHANDELIEEEEEEEEEEEEEEEEEER!❤"", '2024 anyone ?', 'Elle et trop bien cette musique incroyable 💜', 'I love this this young lady voice', 'A frantic child 49 years old married but it is what it is when your in love for 30 years young 😊']"
11,7wtfhZwyrcc,Imagine Dragons - Believer (Official Music Video),UCpx_k19S2vUutWUUM9qmXEg,ImagineDragonsVEVO,2587676458,21622269,629929,"['https://en.wikipedia.org/wiki/Independent_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Rock_music']",PT3M37S,"['2024 ❤⚓', '🙂', 'Кто из России', 'oh..?', 'Meeeee', '2024 peoples 👇', '🎉🎉😮 this is the best song ever wallah', ""This song reminds me Knuckles the Echidna\n\n\n\n\n\n\nDON'T ASK I DON'T KNOW WHY IT JUST DOES!!!!"", 'I know no one asked but back in 2017 i remember i was in 6th grade listening to this song in February good times...', 'Happy 7th Anniversary To BELIEVER!!🎊🎉🪅\n\n\n\n(February 1, 2017 - February 1, 2024)']"
12,rYEDA3JcQqw,Adele - Rolling in the Deep (Official Music Video),UComP_epzeKzvBX156r6pm1Q,AdeleVEVO,2450652002,12872068,425355,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M54S,"['Yourthebesterinhogeterp❤❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉erinh😊😊😊😊', 'Masterpiece iconic song 🔥🔥🔥', 'https://youtu.be/1KyEn1J8G5E?si=gZlecfKc5EtsiDzn\n\nLove Adele she’s so good', 'Adele you should live long God gives you very attractive voice I love so much  from Ramesh Babu India Chennai', 'I think i was around 1 year old when this song came out.. i would sing it all the time, i loved it so much, and i still love it the same today', 'Where songs used to be songs', 'Canta demais , a energia é surreal!', 'For this reason Adele won the Grammy and not Bad Bunny 😂😂😂\n\nAdele can sing without using any autotune help', 'Is a 2024 song now?', ""Who's watching in 2024? 😅""]"
13,rtOvBOTyX00,Christina Perri - A Thousand Years [Official Music Video],UC2gMECGMn5TVbRN5S5tKb8Q,Christina Perri,2394421636,14833583,501045,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT4M48S,"['To the person that reads this, I ask the Lord to bless them and their family, to cure them of every sickness and pain, to fill their emptiness with love joy and peace, to rebuke the enemy from their lives.  "" ASK JESUS TO COME INTO YOUR HEART AND SAVE YOU, AND TO FORGIVE YOU OF YOUR SINS, FOR WE GIVE THANKS AND GLORY TO THE LORD. IN THE MIGHTY NAME OF JESUS CHRIST AMEN!', 'i use to hate this song.. it was about love   BLAH     but then i found my soul mate....', 'P\n\n\n\n\nPllo2\no2o2', 'Bro this has 2 billion views how did I never heard this song?', 'Amo este tema😢❤', 'Im 11 now and when i was 4and a half my mom and me listen to this song every night🌙 ❤', 'I was born in 2011', '2024 .... I still love this song', 'My country Brazil', 'Sorry be heart broken.']"
14,PMivT7MJ41M,Bruno Mars - That’s What I Like [Official Music Video],UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars,2250545541,13288584,386738,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Rhythm_and_blues']",PT3M31S,"['Something made me come back to the classics! Curse you, Bruno Mars!', 'I love this video and song', 'So good 🔥', 'Yelow man champion', ""Ayy, ayy, ayy\r\nI got a condo in Manhattan\r\nBaby girl, what's happenin'? (What's happenin'?)\r\nYou and your ass invited\r\nSo go on and get to clappin' (clap)\r\nGo pop it for a player, pop-pop it for me\r\nTurn around and drop it for a player (drop it)\r\nDrop-drop it for me (drop it)\r\nI'll rent a beach house in Miami ('ami)\r\nWake up with no jammies (nope)\r\nLobster tail for dinner (uh)\r\nJulio, serve that scampi (Julio)\r\nYou got it if you want it, got, got it if you want it\r\nSaid, you got it if you want it, take my wallet if you want it, now\r\nJump in the Cadillac\r\n(Girl, let's put some miles on it)\r\nAnything you want\r\n(Just to put a smile on it)\r\nYou deserve it, baby, you deserve it all\r\nAnd I'm gonna give it to you\r\nGold jewelry shining so bright\r\nStrawberry champagne on ice\r\nLucky for you, that's what I like, that's what I like\r\nLucky for you, that's what I like, that's what I like\r\nSex by the fire at night\r\nSilk sheets and diamonds all white\r\nLucky for you, that's what I like, that's what I like\r\nLucky for you, that's what I like, that's what I like\r\nI'm talkin' trips to Puerto Rico (bih)\r\nSay the word and we go (say it)\r\nYou can be my freaka (brr)\r\nGirl, I'll be your fleeko, mamacita\r\nI will never make a promise that I can't keep\r\nI promise that your smile ain't gon' never leave\r\nShopping sprees in Paris (ooh)\r\nEverything twenty-four karats (uh)\r\nTake a look in that mirror (take a look)\r\nNow tell me who's the fairest?\r\nIs it you? (Is it you?) Is it me? (Is it me?)\r\nSay it's us (say it's us) and I'll agree, baby\r\nJump in the Cadillac\r\n(Girl, let's put some miles on it)\r\nAnything you want\r\n(Just to put a smile on it)\r\nYou deserve it baby, you deserve it all\r\nAnd I'm gonna give it to you\r\nGold jewelry shining so bright\r\nStrawberry champagne on ice\r\nLucky for you, that's what I like, that's what I like\r\nLucky for you, that's what I like, that's what I like\r\nSex by the fire at night\r\nSilk sheets and diamonds all white\r\nLucky for you, that's what I like, that's what I like\r\nLucky for you, that's what I like, that's what I like\r\nYou say you want a good time\r\nWell, here I am, baby, here I am, baby\r\nTalk to me, talk to me, talk to me\r\nTalk to me, tell me, what's on your mind? (What's on your mind?)\r\nIf you want it, girl, come and get it\r\nAll this is here for you\r\nTell me, baby, tell me, tell me, baby\r\nWhat you tryna do?\r\nGold jewelry shining so bright\r\nStrawberry champagne on ice\r\nLucky for you, that's what I like, that's what I like (that's what I like, baby)\r\nLucky for you, that's what I like, that's what I like (oh, oh)\r\nSex by the fire at night\r\nSilk sheets and diamonds all white\r\nLucky for you, that's what I like, that's what I like (that's what I like, baby)\r\nLucky for you, that's what I like, that's what I like (ooh, ooh, ooh)"", 'musica', '2024？？？', 'Me', '6 years later and this is still a masterpiece!\n\n\nThis song never gets old ✨', 'Me']"
15,8UVNT4wvIGY,Gotye - Somebody That I Used To Know (feat. Kimbra) [Official Music Video],UCFC9LamNMmLioW643VZ40OA,gotyemusic,2216493797,15686516,812953,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT4M4S,"['Best Song ever heart', 'This song is so relevant right now in my life been cut off from everyone 😔 2024 and the meaning of this song finally hit me 😢', '47 fuck', 'EI CARA LINDU CLIPE VOSE E A KIM BRAZILEIRA RS! KIM SUZIKI G. LINDA DEUZINHAS', 'POV: your a wall talker!', 'Love this song.  . especially when it gets going', 'I want more songs like this', 'This song gives me Phil Collins vibes.', ""SAD REALITY YOU'LL ALWAYS BE SOMEBODY I USED TO KNOW.🧸"", 'Original masterpeice']"
16,kXYiU_JCYtU,Numb (Official Music Video) [4K UPGRADE] – Linkin Park,UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,2172446796,13473516,575899,"['https://en.wikipedia.org/wiki/Independent_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Rock_music']",PT3M8S,"['Feb', 'Unforgettable voice!!  Beautiful', 'Chibaba ichi 2024 we still here', 'Боже,какой нектар))))', 'Februari 2024..indonesia🎉', 'so am I not the one and only seeing the shear resemblance with ""Crawling*?', 'Сусліккурваоля робила в банку замість мене ;-Р', ""Who's watching in February 2024"", 'We miss you chester so much 😢', 'CAN I GET AN ENCORE DO YOU WANT MORE']"
